"Nom_Diplôme","Ecole","Career","Employement_Opportunities","Ancienne_Diplome","Filiere","Durée","Mention_Bac","Ville","Matieres_Diplome","Matieres_Etudiant"
"Designer Graphique","ENSAD","['Design', 'Design Graphique', 'Communication visuelle', 'Arts numériques']","['Graphiste', 'Directeur Artistique']","['BAC SM', 'BAC SP']","['LSH']","5","Mention Très Bien","Casablanca","['Graphisme', 'Typographie', 'Communication Visuelle']","['Informatique', 'Arts']"
"Designer Industriel","ENSAD","['Design', 'Arts appliqués', 'Création']","['Designer', 'Concepteur Produit']","['BAC SM', 'BAC SP']","['SP', 'LSH']","5","Bien","Casablanca","['Design Industriel', 'Dessin Technique', 'Esthétique']","['Mathématiques', 'Arts']"
"Docteur Vétérinaire","IAV","['Biologie', 'Vétérinaire', 'Médecine animale']","['Vétérinaire', 'Spécialiste Santé Animale']","['BAC SM', 'BAC SP']","['SP', 'SVT']","6","Bien","Rabat","['Pathologie', 'Médecine Vétérinaire', 'Chirurgie Animale']","['Chimie', 'Biologie']"
"Ingénieur Textile","ESITH","['Ingénierie', 'Industrie Textile', 'Mode', 'Design']","['Ingénieur Textile', 'Designer Textile']","['BAC SM', 'BAC SP']","['SP', 'STM']","5","Mention Très Bien","Casablanca","['Conception', 'Technologie Textile', 'Production']","['Physique', 'Chimie']"
"Ingénieur en Agronomie","ENA","['Ingénierie', 'Biologie', 'Agronomie', 'Agriculture']","['Ingénieur Agronome', 'Consultant Agricole']","['BAC SM', 'BAC SP']","['SP', 'SVT']","5","Mention Très Bien","Meknès","['Agronomie', 'Phytosanitaire', 'Gestion des Cultures']","['Chimie', 'Biologie']"
"Ingénieur en Agronomie","IAV","['Ingénierie', 'Biologie', 'Agronomie', 'Agriculture']","['Ingénieur Agronome', 'Consultant Agricole']","['BAC SM', 'BAC SP']","['SP', 'SVT']","5","Mention Très Bien","Rabat","['Agronomie', 'Phytosanitaire', 'Gestion des Cultures']","['Chimie', 'Biologie']"
"Ingénieur en Cybersécurité","ENSA-Fès","['Ingénierie', 'Informatique', 'Sécurité Informatique', 'Cybersécurité']","['Expert en Cybersécurité', 'Pentester']","['BAC SM', 'BAC SP']","['SM', 'SP']","5","Mention Très Bien","Fès","['Cryptographie', 'Sécurité des Réseaux', 'Hacking Éthique']","['Mathématiques', 'Informatique']"
"Ingénieur en Cybersécurité","ENSA-Marrakech","['Ingénierie', 'Informatique', 'Sécurité Informatique', 'Cybersécurité']","['Expert en Cybersécurité', 'Pentester']","['BAC SM', 'BAC SP']","['SM', 'SP']","5","Mention Très Bien","Marrakech","['Cryptographie', 'Sécurité des Réseaux', 'Hacking Éthique']","['Mathématiques', 'Informatique']"
"Ingénieur en Cybersécurité","ENSIAS","['Ingénierie', 'Informatique', 'Sécurité Informatique', 'Cybersécurité']","['Expert en Cybersécurité', 'Pentester']","['Licence Informatique', 'CPGE']","['SM', 'SP']","5","Bien","Rabat","['Cryptographie', 'Sécurité des Réseaux', 'Pentesting']","['Mathématiques', 'Informatique']"
"Ingénieur en Data Science","ENSIAS","['Ingénierie', 'Informatique', 'Recherche', 'Data Science', 'Analyse de données']","['Data Scientist', 'Machine Learning Engineer']","['CPGE', 'Licence Mathématiques']","['SM', 'SP']","5","Mention Très Bien","Rabat","['Mathématiques', 'Statistiques', 'Big Data', 'Machine Learning']","['Mathématiques', 'Informatique']"
"Ingénieur en Data Science","INSEA","['Ingénierie', 'Informatique', 'Recherche', 'Data Science', 'Analyse de données']","['Data Scientist', 'Analyste Big Data']","['BAC SM', 'BAC SP']","['SM', 'SP']","5","Bien","Rabat","['Statistiques', 'Big Data', 'Machine Learning']","['Mathématiques', 'Informatique']"
"Ingénieur en Finance","ENCG","['Ingénierie', 'Économie', 'Finance', 'Gestion']","['Analyste Financier', 'Consultant en Finance']","['BAC SM', 'BAC SP']","['SM', 'SEG']","5","Bien","Casablanca","['Marchés Financiers', 'Gestion des Risques', 'Finance dEntreprise']","['Mathématiques', 'Économie']"
"Ingénieur en Gestion","ENCG-TNG","['Ingénierie', 'Commerce', 'Marketing', 'Management', 'Gestion', 'Tourisme', 'Hôtellerie', 'Service', 'Gestion de projet', 'Organisation', 'Administration']","['Manager', 'Consultant en Gestion']","['BAC SM', 'BAC SP']","['SM', 'SEG']","5","Bien","Tanger","['Management', 'Finance', 'Marketing']","['Mathématiques', 'Économie']"
"Ingénieur en Gestion","ENCG","['Ingénierie', 'Commerce', 'Marketing', 'Management', 'Gestion', 'Tourisme', 'Hôtellerie', 'Service', 'Gestion de projet', 'Organisation', 'Administration']","['Manager', 'Consultant en Gestion']","['BAC SM', 'BAC SP']","['SM', 'SEG']","5","Bien","Agadir","['Management', 'Finance', 'Marketing']","['Mathématiques', 'Économie']"
"Ingénieur en Gestion de la Production Textile","ESITH","['Ingénierie', 'Gestion', 'Industrie Textile', 'Mode', 'Design']","['Manager de Production', 'Consultant Textile']","['BAC SM', 'BAC SP']","['SP', 'STM']","5","Bien","Casablanca","['Gestion de Production', 'Qualité', 'Logistique Textile']","['Mathématiques', 'Physique']"
"Ingénieur en Génie Civil","EHTP","['Ingénierie', 'Urbanisme', 'Génie Civil', 'Construction']","['Ingénieur Civil', 'Chef de Projet BTP']","['CPGE', 'Licence Génie Civil']","['SP', 'STM']","5","Mention Très Bien","Casablanca","['Topographie', 'Constructions Civiles', 'Géotechnique']","['Mathématiques', 'Physique']"
"Ingénieur en Génie Civil","EMI","['Ingénierie', 'Urbanisme', 'Génie Civil', 'Construction']","['Ingénieur Civil', 'Chef de Projet BTP']","['CPGE', 'Licence Génie Civil']","['SP', 'STM']","5","Mention Très Bien","Rabat","['Topographie', 'Constructions Civiles', 'Géotechnique']","['Mathématiques', 'Physique']"
"Ingénieur en Génie Hydraulique","EHTP","['Ingénierie', 'Génie Civil', 'Génie Hydraulique', 'Hydrologie']","['Ingénieur Hydraulicien', 'Consultant en Eaux']","['CPGE', 'Licence Génie Civil']","['SP', 'SVT']","5","Bien","Casablanca","['Hydrologie', 'Génie des Eaux', 'Traitement des Eaux']","['Mathématiques', 'Physique']"
"Ingénieur en Génie Industriel","ENSA-MK","['Ingénierie', 'Génie Industriel', 'Production', 'Optimisation']","['Ingénieur Industriel', 'Consultant Supply Chain']","['BAC SM', 'BAC SP']","['SP', 'STM']","5","Mention Très Bien","Meknès","['Gestion de Production', 'Optimisation', 'Logistique']","['Mathématiques', 'Physique']"
"Ingénieur en Génie Industriel","ENSA-Oujda","['Ingénierie', 'Génie Industriel', 'Production', 'Optimisation']","['Ingénieur Industriel', 'Consultant Production']","['BAC SM', 'BAC SP']","['SP', 'STM']","5","Mention Très Bien","Oujda","['Gestion de Production', 'Optimisation', 'Logistique']","['Mathématiques', 'Physique']"
"Ingénieur en Génie Industriel","ENSAM","['Ingénierie', 'Génie Industriel', 'Production', 'Optimisation']","['Ingénieur Industriel', 'Consultant Production']","['CPGE', 'Licence Génie Industriel']","['SP', 'STM']","5","Bien","Casablanca","['Gestion de Production', 'Optimisation', 'Qualité']","['Mathématiques', 'Physique']"
"Ingénieur en Génie Informatique","EI-UIR","['Ingénierie', 'Technologie', 'Informatique', 'Programmation', 'Développement Logiciel']","['Développeur Full Stack', 'Ingénieur Logiciel']","['BAC SM', 'BAC SP']","['SM', 'SP']","5","Mention Très Bien","Salé","['Programmation', 'Génie Logiciel', 'Bases de Données']","['Mathématiques', 'Informatique']"
"Ingénieur en Génie Informatique","ENSA-AG","['Ingénierie', 'Technologie', 'Informatique', 'Programmation', 'Développement Logiciel']","['Développeur Full Stack', 'Ingénieur Logiciel']","['BAC SM', 'BAC SP']","['SM', 'SP']","5","Bien","Agadir","['Programmation', 'Génie Logiciel', 'Bases de Données']","['Mathématiques', 'Informatique']"
"Ingénieur en Génie Informatique","ENSA-BM","['Ingénierie', 'Technologie', 'Informatique', 'Programmation', 'Développement Logiciel']","['Développeur Full Stack', 'Ingénieur Logiciel']","['BAC SM', 'BAC SP']","['SM', 'SP']","5","Bien","Béni Mellal","['Programmation', 'Génie Logiciel', 'Bases de Données']","['Mathématiques', 'Informatique']"
"Ingénieur en Génie Informatique","ENSA-Fès","['Ingénierie', 'Technologie', 'Informatique', 'Programmation', 'Développement Logiciel']","['Développeur Full Stack', 'Ingénieur Logiciel']","['BAC SM', 'BAC SP']","['SM', 'SP']","5","Mention Très Bien","Fès","['Programmation', 'Génie Logiciel', 'Bases de Données']","['Mathématiques', 'Informatique']"
"Ingénieur en Génie Informatique","ENSA-KE","['Ingénierie', 'Technologie', 'Informatique', 'Programmation', 'Développement Logiciel']","['Développeur Full Stack', 'Ingénieur Logiciel']","['BAC SM', 'BAC SP']","['SM', 'SP']","5","Bien","Kénitra","['Programmation', 'Génie Logiciel', 'Bases de Données']","['Mathématiques', 'Informatique']"
"Ingénieur en Génie Informatique","ENSA-MK","['Ingénierie', 'Technologie', 'Informatique', 'Programmation', 'Développement Logiciel']","['Développeur Full Stack', 'Ingénieur Logiciel']","['BAC SM', 'BAC SP']","['SM', 'SP']","5","Bien","Meknès","['Programmation', 'Génie Logiciel', 'Bases de Données']","['Mathématiques', 'Informatique']"
"Ingénieur en Génie Informatique","ENSA-Marrakech","['Ingénierie', 'Technologie', 'Informatique', 'Programmation', 'Développement Logiciel']","['Développeur Full Stack', 'Ingénieur Logiciel']","['BAC SM', 'BAC SP']","['SM', 'SP']","5","Mention Très Bien","Marrakech","['Programmation', 'Génie Logiciel', 'Bases de Données']","['Mathématiques', 'Informatique']"
"Ingénieur en Génie Informatique","ENSA-Oujda","['Ingénierie', 'Technologie', 'Informatique', 'Programmation', 'Développement Logiciel']","['Développeur Full Stack', 'Ingénieur Logiciel']","['BAC SM', 'BAC SP']","['SM', 'SP']","5","Mention Très Bien","Oujda","['Programmation', 'Génie Logiciel', 'Bases de Données']","['Mathématiques', 'Informatique']"
"Ingénieur en Génie Informatique","ENSA-TNG","['Ingénierie', 'Technologie', 'Informatique', 'Programmation', 'Développement Logiciel']","['Développeur Full Stack', 'Ingénieur Logiciel']","['BAC SM', 'BAC SP']","['SM', 'SP']","5","Bien","Tanger","['Programmation', 'Génie Logiciel', 'Bases de Données']","['Mathématiques', 'Informatique']"
"Ingénieur en Génie Minier","ENSMR","['Ingénierie', 'Géologie', 'Génie Minier', 'Ressources naturelles']","['Ingénieur Minier', 'Consultant en Mines']","['CPGE', 'Licence Géologie']","['SP', 'SVT']","5","Mention Très Bien","Rabat","['Géologie Minière', 'Exploitation', 'Sécurité Minière']","['Physique', 'Géologie']"
"Ingénieur en Génie Mécanique","EI-UIR","['Ingénierie', 'Conception', 'Génie Mécanique', 'Mécanique']","['Ingénieur Mécanicien', 'Concepteur Machines']","['BAC SM', 'BAC SP']","['SP', 'STM']","5","Assez Bien","Salé","['Mécanique', 'Conception', 'Matériaux']","['Mathématiques', 'Physique']"
"Ingénieur en Génie Mécanique","ENSA-AG","['Ingénierie', 'Conception', 'Génie Mécanique', 'Mécanique']","['Ingénieur Mécanicien', 'Concepteur Machines']","['BAC SM', 'BAC SP']","['SP', 'STM']","5","Bien","Agadir","['Mécanique', 'Conception', 'Matériaux']","['Mathématiques', 'Physique']"
"Ingénieur en Génie Mécanique","ENSA-BM","['Ingénierie', 'Conception', 'Génie Mécanique', 'Mécanique']","['Ingénieur Mécanicien', 'Concepteur Machines']","['BAC SM', 'BAC SP']","['SP', 'STM']","5","Bien","Béni Mellal","['Mécanique', 'Conception', 'Matériaux']","['Mathématiques', 'Physique']"
"Ingénieur en Génie Mécanique","ENSA-Fès","['Ingénierie', 'Conception', 'Génie Mécanique', 'Mécanique']","['Ingénieur Mécanicien', 'Concepteur Machines']","['BAC SM', 'BAC SP']","['SP', 'STM']","5","Assez Bien","Fès","['Mécanique', 'Conception', 'Matériaux']","['Mathématiques', 'Physique']"
"Ingénieur en Génie Mécanique","ENSA-KE","['Ingénierie', 'Conception', 'Génie Mécanique', 'Mécanique']","['Ingénieur Mécanicien', 'Concepteur Machines']","['BAC SM', 'BAC SP']","['SP', 'STM']","5","Bien","Kénitra","['Mécanique', 'Conception', 'Matériaux']","['Mathématiques', 'Physique']"
"Ingénieur en Génie Mécanique","ENSA-Marrakech","['Ingénierie', 'Conception', 'Génie Mécanique', 'Mécanique']","['Ingénieur Mécanicien', 'Concepteur Machines']","['BAC SM', 'BAC SP']","['SP', 'STM']","5","Assez Bien","Marrakech","['Mécanique', 'Conception', 'Matériaux']","['Mathématiques', 'Physique']"
"Ingénieur en Génie Mécanique","ENSA-Oujda","['Ingénierie', 'Conception', 'Génie Mécanique', 'Mécanique']","['Ingénieur Mécanicien', 'Concepteur Machines']","['BAC SM', 'BAC SP']","['SP', 'STM']","5","Assez Bien","Oujda","['Mécanique', 'Conception', 'Matériaux']","['Mathématiques', 'Physique']"
"Ingénieur en Génie Mécanique","ENSA-TET","['Ingénierie', 'Conception', 'Génie Mécanique', 'Mécanique']","['Ingénieur Mécanicien', 'Concepteur Machines']","['BAC SM', 'BAC SP']","['SP', 'STM']","5","Bien","Tétouan","['Mécanique', 'Conception', 'Matériaux']","['Mathématiques', 'Physique']"
"Ingénieur en Génie Mécanique","ENSAM","['Ingénierie', 'Conception', 'Génie Mécanique', 'Mécanique']","['Ingénieur Mécanique', 'Concepteur Mécanique']","['CPGE', 'Licence Mécanique']","['SP', 'STM']","5","Mention Très Bien","Casablanca","['Matériaux', 'Conception Mécanique', 'Dynamique des Fluides']","['Mathématiques', 'Physique']"
"Ingénieur en Génie Mécanique","ENSEM","['Ingénierie', 'Conception', 'Génie Mécanique', 'Mécanique']","['Ingénieur Mécanique', 'Concepteur Mécanique']","['CPGE', 'Licence Mécanique']","['SP', 'STM']","5","Mention Très Bien","Casablanca","['Matériaux', 'Conception Mécanique', 'Dynamique des Fluides']","['Mathématiques', 'Physique']"
"Ingénieur en Génie Électrique","EI-UIR","['Ingénierie', 'Génie Électrique', 'Électronique', 'Énergie']","['Ingénieur Électrique', 'Spécialiste Automatisation']","['BAC SM', 'BAC SP']","['SP', 'STE']","5","Bien","Salé","['Électrotechnique', 'Automatique', 'Énergie']","['Physique', 'Électronique']"
"Ingénieur en Génie Électrique","EMI","['Ingénierie', 'Génie Électrique', 'Électronique', 'Énergie']","['Ingénieur Électrique', 'Spécialiste Automatisation']","['CPGE', 'Licence Électrotechnique']","['SP', 'STE']","5","Bien","Rabat","['Électrotechnique', 'Automatique', 'Énergie']","['Physique', 'Électronique']"
"Ingénieur en Génie Électrique","ENSA-AG","['Ingénierie', 'Génie Électrique', 'Électronique', 'Énergie']","['Ingénieur Électrique', 'Spécialiste Automatisation']","['BAC SM', 'BAC SP']","['SP', 'STE']","5","Mention Très Bien","Agadir","['Électrotechnique', 'Automatique', 'Énergie']","['Physique', 'Électronique']"
"Ingénieur en Génie Électrique","ENSA-BM","['Ingénierie', 'Génie Électrique', 'Électronique', 'Énergie']","['Ingénieur Électrique', 'Spécialiste Automatisation']","['BAC SM', 'BAC SP']","['SP', 'STE']","5","Mention Très Bien","Béni Mellal","['Électrotechnique', 'Automatique', 'Énergie']","['Physique', 'Électronique']"
"Ingénieur en Génie Électrique","ENSA-Fès","['Ingénierie', 'Génie Électrique', 'Électronique', 'Énergie']","['Ingénieur Électrique', 'Spécialiste Automatisation']","['BAC SM', 'BAC SP']","['SP', 'STE']","5","Bien","Fès","['Électrotechnique', 'Automatique', 'Énergie']","['Physique', 'Électronique']"
"Ingénieur en Génie Électrique","ENSA-KE","['Ingénierie', 'Génie Électrique', 'Électronique', 'Énergie']","['Ingénieur Électrique', 'Spécialiste Automatisation']","['BAC SM', 'BAC SP']","['SP', 'STE']","5","Mention Très Bien","Kénitra","['Électrotechnique', 'Automatique', 'Énergie']","['Physique', 'Électronique']"
"Ingénieur en Génie Électrique","ENSA-Marrakech","['Ingénierie', 'Génie Électrique', 'Électronique', 'Énergie']","['Ingénieur Électrique', 'Spécialiste Automatisation']","['BAC SM', 'BAC SP']","['SP', 'STE']","5","Bien","Marrakech","['Électrotechnique', 'Automatique', 'Énergie']","['Physique', 'Électronique']"
"Ingénieur en Génie Électrique","ENSA-Oujda","['Ingénierie', 'Génie Électrique', 'Électronique', 'Énergie']","['Ingénieur Électrique', 'Spécialiste Automatisation']","['BAC SM', 'BAC SP']","['SP', 'STE']","5","Bien","Oujda","['Électrotechnique', 'Automatique', 'Énergie']","['Physique', 'Électronique']"
"Ingénieur en Génie Électrique","ENSA-TNG","['Ingénierie', 'Génie Électrique', 'Électronique', 'Énergie']","['Ingénieur Électrique', 'Spécialiste Automatisation']","['BAC SM', 'BAC SP']","['SP', 'STE']","5","Mention Très Bien","Tanger","['Électrotechnique', 'Automatique', 'Énergie']","['Physique', 'Électronique']"
"Ingénieur en Génie Électrique","ENSEM","['Ingénierie', 'Génie Électrique', 'Électronique', 'Énergie']","['Ingénieur Électrique', 'Spécialiste Systèmes Électriques']","['CPGE', 'Licence Électrotechnique']","['SP', 'STE']","5","Bien","Casablanca","['Électrotechnique', 'Énergie', 'Automatisation']","['Physique', 'Électronique']"
"Ingénieur en Intelligence Artificielle","EI-UIR","['Ingénierie', 'Informatique', 'Design', 'Intelligence Artificielle', 'Robotique']","['Data Scientist', 'Ingénieur IA']","['BAC SM', 'BAC SP']","['SM', 'SP']","5","Mention Très Bien","Salé","['Programmation', 'Machine Learning', 'Data Science']","['Mathématiques', 'Informatique']"
"Ingénieur en Logistique","ENCG","['Ingénierie', 'Gestion', 'Logistique', 'Transport']","['Chef de Projet Logistique', 'Consultant Supply Chain']","['BAC SM', 'BAC SP']","['SM', 'SEG']","5","Assez Bien","Casablanca","['Logistique', 'Supply Chain', 'Gestion des Stocks']","['Mathématiques', 'Économie']"
"Ingénieur en Marketing","ENCG-TNG","['Ingénierie', 'Commerce', 'Marketing', 'Communication']","['Directeur Marketing', 'Analyste de Marché']","['BAC SM', 'BAC SP']","['SM', 'SEG']","5","Mention Très Bien","Tanger","['Marketing Stratégique', 'Études de Marché', 'Communication']","['Statistiques', 'Économie']"
"Ingénieur en Marketing","ENCG","['Ingénierie', 'Commerce', 'Marketing', 'Communication']","['Directeur Marketing', 'Analyste de Marché']","['BAC SM', 'BAC SP']","['SM', 'SEG']","5","Mention Très Bien","Agadir","['Marketing Stratégique', 'Études de Marché', 'Communication']","['Statistiques', 'Économie']"
"Ingénieur en Statistiques Appliquées","INSEA","['Ingénierie', 'Mathématiques', 'Analyse de données', 'Statistique']","['Analyste de Données', 'Statisticien']","['BAC SM', 'BAC SP']","['SM', 'SP']","5","Mention Très Bien","Rabat","['Statistiques', 'Économétrie', 'Analyse de Données']","['Mathématiques', 'Informatique']"
"Ingénieur en Télécommunications","ENSA-TET","['Ingénierie', 'Informatique', 'Télécommunications', 'Réseaux']","['Ingénieur Réseaux', 'Consultant Télécom']","['BAC SM', 'BAC SP']","['SM', 'SP', 'STE']","5","Mention Très Bien","Tétouan","['Réseaux', 'Systèmes de Communication', 'Traitement du Signal']","['Mathématiques', 'Électronique']"
"Ingénieur en Télécommunications","INPT","['Ingénierie', 'Informatique', 'Télécommunications', 'Réseaux']","['Ingénieur Réseaux', 'Consultant Télécom']","['CPGE', 'Licence Électronique']","['SM', 'SP', 'STE']","5","Mention Très Bien","Rabat","['Réseaux', 'Systèmes de Communication', 'Traitement du Signal']","['Mathématiques', 'Électronique']"
"Licence en Arts Plastiques","FLASH","['Design', 'Création', 'Arts', 'Culture']","['Artiste', 'Professeur dArts']","['BAC SM', 'BAC SP']","['LSH']","3","Bien","Kénitra","['Dessin', 'Peinture', 'Histoire de lArt']","['Histoire', 'Arts']"
"Licence en Arts Plastiques","INBA-TET","['Design', 'Création', 'Arts', 'Culture']","['Artiste', 'Professeur dArts']","['BAC SM', 'BAC SP']","['LSH']","3","Bien","Tétouan","['Dessin', 'Peinture', 'Histoire de lArt']","['Histoire', 'Arts']"
"Licence en Biologie","FP-Nador","['Recherche', 'Biologie', 'Sciences naturelles']","['Biologiste', 'Technicien de Laboratoire']","['BAC SM', 'BAC SP']","['SP', 'SVT']","3","Assez Bien","Oujda","['Écologie', 'Génétique', 'Biologie Cellulaire']","['Chimie', 'Biologie']"
"Licence en Biologie","FP-Taza","['Recherche', 'Biologie', 'Sciences naturelles']","['Biologiste', 'Technicien de Laboratoire']","['BAC SM', 'BAC SP']","['SP', 'SVT']","3","Assez Bien","Fès","['Écologie', 'Génétique', 'Biologie Cellulaire']","['Chimie', 'Biologie']"
"Licence en Biologie","FPL","['Recherche', 'Biologie', 'Sciences naturelles']","['Biologiste', 'Technicien de Laboratoire']","['BAC SM', 'BAC SP']","['SP', 'SVT']","3","Assez Bien","Larache","['Biologie', 'Écologie', 'Génétique']","['Chimie', 'Biologie']"
"Licence en Biologie","FPT","['Recherche', 'Biologie', 'Sciences naturelles']","['Biologiste', 'Technicien de Laboratoire']","['BAC SM', 'BAC SP']","['SP', 'SVT']","3","Assez Bien","Taroudant","['Biologie', 'Écologie', 'Génétique']","['Chimie', 'Biologie']"
"Licence en Biologie","FSBM","['Recherche', 'Biologie', 'Sciences naturelles']","['Biologiste', 'Technicien de Laboratoire']","['BAC SM', 'BAC SP']","['SP', 'SVT']","3","Bien","Casablanca","['Écologie', 'Génétique', 'Biologie Cellulaire']","['Chimie', 'Biologie']"
"Licence en Biologie","FSS","['Recherche', 'Biologie', 'Sciences naturelles']","['Biologiste', 'Technicien de Laboratoire']","['BAC SM', 'BAC SP']","['SP', 'SVT']","3","Bien","Marrakech","['Écologie', 'Génétique', 'Biologie Cellulaire']","['Chimie', 'Biologie']"
"Licence en Biologie","FS","['Recherche', 'Biologie', 'Sciences naturelles']","['Biologiste', 'Technicien de Laboratoire']","['BAC SM', 'BAC SP']","['SP', 'SVT']","3","Bien","Oujda","['Écologie', 'Génétique', 'Biologie Cellulaire']","['Chimie', 'Biologie']"
"Licence en Chimie","FSAC","['Recherche', 'Chimie', 'Sciences chimiques']","['Chimiste', 'Technicien en Chimie']","['BAC SM', 'BAC SP']","['SP', 'SVT']","3","Assez Bien","Casablanca","['Chimie Organique', 'Chimie Analytique', 'Chimie Physique']","['Physique', 'Chimie']"
"Licence en Chimie","FSBM","['Recherche', 'Chimie', 'Sciences chimiques']","['Chimiste', 'Ingénieur Chimiste']","['BAC SM', 'BAC SP']","['SP', 'SVT']","3","Assez Bien","Casablanca","['Chimie Organique', 'Chimie Analytique', 'Chimie Physique']","['Physique', 'Chimie']"
"Licence en Chimie","FSDM","['Recherche', 'Chimie', 'Sciences chimiques']","['Chimiste', 'Technicien en Chimie']","['BAC SM', 'BAC SP']","['SP', 'SVT']","3","Assez Bien","Fès","['Chimie Organique', 'Chimie Analytique', 'Chimie Physique']","['Physique', 'Chimie']"
"Licence en Chimie","FSS","['Recherche', 'Chimie', 'Sciences chimiques']","['Chimiste', 'Technicien en Chimie']","['BAC SM', 'BAC SP']","['SP', 'SVT']","3","Assez Bien","Marrakech","['Chimie Organique', 'Chimie Analytique', 'Chimie Physique']","['Physique', 'Chimie']"
"Licence en Chimie","FST","['Recherche', 'Chimie', 'Sciences chimiques']","['Chimiste', 'Technicien en Chimie']","['BAC SM', 'BAC SP']","['SP', 'SVT']","3","Assez Bien","Béni Mellal","['Chimie', 'Réactions Chimiques', 'Chimie Industrielle']","['Physique', 'Chimie']"
"Licence en Chimie","FS","['Recherche', 'Chimie', 'Sciences chimiques']","['Chimiste', 'Technicien de Laboratoire']","['BAC SM', 'BAC SP']","['SP', 'SVT']","3","Assez Bien","Agadir","['Chimie Organique', 'Chimie Analytique', 'Chimie Physique']","['Physique', 'Chimie']"
